Community Name,"Holds degree or higher, %","Equivalent household income <$600/week, %",,,Locality,2013
Bell Park (Catchment),25.33039648,50.16738403,,,BONSHAW,-
Bell Park (Suburb),23.86831276,49.88610478,,,BOOLARRA,196500
Bell Post Hill (Suburb),22.74914089,49.82497083,,,BOORT,157500
Bellbridge (Town),20.25316456,38.01652893,,,BORONIA,459500
Bellfield (Suburb),47.96460177,47.43589744,,,BOTANIC RIDGE,492000
Belmont (Catchment),27.39726027,48.19532909,,,BOX HILL,855000
Belmont (Suburb),39.23364486,44.32732848,,,BOX HILL NORTH,746000
Benalla (Catchment),30.82980012,46.51162791,,,BOX HILL SOUTH,785000
Benalla (Town),24.5143059,56.08793687,,,BRAYBROOK,424000
Bendigo (Catchment),42.23744292,40.04739336,,,BREAKWATER,255000
Bendigo (Suburb),47.67290126,44.57274827,,,BRIAGOLONG,226000
Bentleigh East (Suburb),51.50734593,34.21610169,,,BRIAR HILL,572500
Bentleigh (Suburb),58.74263261,31.19339907,,,BRIGHT,325000
Berwick (Catchment),32.77591973,25.10917031,,,BRIGHTON,1802500
Berwick (Suburb),36.6365437,29.60775405,,,BRIGHTON EAST,1230000
Bethanga (Town),20,48.57142857,,,BROADFORD,291000
Beulah (Town),,90.58823529,,,BROADMEADOWS,325000
Birchip (Catchment),24.87046632,57.2519084,,,BROOKFIELD,330000
Birchip (Town),33.33333333,59.437751,,,BROOKLYN,491500
Birregurra (Town),31.86813187,45.40540541,,,BROWN HILL,310000
Bittern (Suburb),22.50209908,35.87487781,,,BRUNSWICK,750000
Black Hill (Suburb),34.98559078,43.35122242,,,BRUNSWICK EAST,767000
Black Rock (Suburb),60.29357798,23.44449975,,,BRUNSWICK WEST,745000
Blackburn North (Suburb),55.13686456,36.39117265,,,BRUTHEN,198000
Blackburn South (Suburb),55.7723204,38.98305085,,,BULLEEN,780000
Blackburn (Suburb),61.50905767,28.61203221,,,BUNDALONG,337500
Blackwood (Town),41.59292035,58.87096774,,,BUNDOORA,530000
Blairgowrie (Suburb),32.68348624,44.91315136,,,BUNINYONG,348000
Blind Bight (Town),10.54054054,33.87096774,,,BUNYIP,332500
Bonbeach (Suburb),38.81782091,38.40909091,,,BURNLEY,836000
Boolarra (Town),25.42372881,53.60824742,,,BURNSIDE,390000
Boort (Town),30.58252427,60.53639847,,,BURNSIDE HEIGHTS,427000
Boronia (Catchment),31.95985209,28.43537415,,,BURWOOD,780000
Boronia (Suburb),32.14560369,37.06427015,,,BURWOOD EAST,685500
Botanic Ridge (Suburb),22.68370607,14.85943775,,,CAIRNLEA,480000
Box Hill North (Suburb),59.76916735,38.70281765,,,CALIFORNIA GULLY,252500
Box Hill South (Suburb),61.83947444,36.72600619,,,CAMBERWELL,1382000
Box Hill (Suburb),63.99082569,44.70018171,,,CAMPBELLFIELD,330000
Braybrook (Suburb),48.820059,61.46907216,,,CAMPBELLS CREEK,382000
Breakwater (Suburb),18.89534884,55.16431925,,,CAMPERDOWN,220000
Briagolong (Town),27.08333333,53.33333333,,,CANADIAN,322500
Briar Hill (Suburb),41.63512491,27.53888381,,,CANTERBURY,1950000
Bridgewater (Town),25,65.07936508,,,CAPE PATERSON,337000
Bright (Catchment),28.71198569,47.35234216,,,CAPE SCHANCK,620000
Bright (Town),34.29286608,54.125,,,CAPEL SOUND,350000
Brighton East (Suburb),63.12339698,25.79349136,,,CARDIGAN,177500
Brighton (Suburb),69.7130287,20.74738416,,,CARLTON,1002500
Broadford (Catchment),29.72399151,36.2244898,,,CARLTON NORTH,890500
Broadford (Town),17.60339343,48.00741427,,,CARNEGIE,865000
Broadmeadows (Catchment),33.03571429,60.48109966,,,CAROLINE SPRINGS,435000
Broadmeadows (Suburb),30.67292645,68.17339755,,,CARRUM,510000
Brooklyn (Suburb),40.19047619,41.3559322,,,CARRUM DOWNS,330000
Brunswick (Catchment),76.79558011,18.8034188,,,CASTERTON,97500
Brunswick East (Catchment),73.93162393,49.23857868,,,CASTLEMAINE,372500
Brunswick East (Suburb),73.002693,30.1992528,,,CAULFIELD,1172500
Brunswick (Suburb),72.21473116,31.19971178,,,CAULFIELD NORTH,1415000
Brunswick West (Suburb),65.34290271,33.59904344,,,CAULFIELD SOUTH,1050000
Bruthen (Town),21.34831461,57.9787234,,,CHADSTONE,719000
Bulla (Town),18.51851852,36,,,CHARLEMONT,-
Bulleen (Suburb),55.52734826,39.0454926,,,CHARLTON,120000
Buln Buln (Town),32.85714286,26.43678161,,,CHELSEA,577500
Bundalong (Town),35.2,35.57692308,,,CHELSEA HEIGHTS,465000
Bundoora (Suburb),48.10683256,41.05599149,,,CHELTENHAM,690000
Buninyong (Suburb),44.16517056,35.67383918,,,CHELTENHAM EAST,600000
Bunyip (Catchment),20.39473684,43.69811321,,,CHELTENHAM NORTH,583500
Bunyip (Town),19.8915009,42.45283019,,,CHILTERN,171500
Burnley (Suburb),76.74418605,18.03797468,,,CHIRNSIDE PARK,450000
Burnside Heights (Suburb),46.74957603,28.73646209,,,CHURCHILL,182000
Burnside (Suburb),36.32585204,42.78807413,,,CLARINDA,525000
Burwood East (Suburb),57.73219636,42.70928463,,,CLAYTON,645000
Burwood (Suburb),60.77328647,44.58000939,,,CLAYTON NORTH,630000
Bushfield - Woodford (Town),32.69230769,31.95266272,,,CLAYTON SOUTH,526500
